name,rank,year_published,mechanics,categories,subdomains,playing_time,mfg_suggested_ages,user_suggested_ages,expansions,languages,honors,mfg_suggested_players,user_suggested_players,count_ratings,avg_ratings,std_deviation,count_views
Star Wars: X-Wing Miniatures Game,27,2012,"Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection","Aviation / Flight, Collectible Components, Miniatures, Movies / TV / Radio theme","Customizable Games, Wargames",60 minutes,14 and up,10 and up,"Star Wars: X-Wing Miniatures Game  A-Wing Expansion Pack, Star Wars: X-Wing Miniatures Game  B-Wing Expansion Pack, Star Wars: X-Wing Miniatures Game  E-Wing Expansion Pack, Star Wars: X-Wing Miniatures Game  Ghost Expansion Pack",Moderate in-game text - needs crib sheet or paste ups,"2012 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2012 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Winner, 2012 Meeples' Choice Nominee, 2013 As d'Or - Jeu de l'Anne Nominee",24,Best with 2 players,11498,7.93,1.38,2236954
Lords of Waterdeep,28,2012,"Set Collection, Take That, Worker Placement","City Building, Fantasy",Strategy Games,60 minutes,12 and up,10 and up,"Lords of Waterdeep: Inevitable Betrayal Promo Card, Lords of Waterdeep: Rapid Expansion Promo Card, Lords of Waterdeep: Scoundrels of Skullport",Moderate in-game text - needs crib sheet or paste ups,"2012 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2012 ENnie for Best RPG Related Product Nominee, 2012 ENnie for Best RPG Related Product Silver Winner, 2012 Golden Geek Best Board Game Artwork/Presentation Nominee",25,Best with 34 players,20421,7.82,1.25,994468
Battlestar Galactica,29,2008,"Area Movement, Co-operative Play, Dice Rolling, Hand Management","Bluffing, Deduction, Movies / TV / Radio theme, Negotiation",Thematic Games,120240 minutes,10 and up,14 and up,"Battlestar Galactica: Daybreak Expansion, Battlestar Galactica: Exodus Expansion, Battlestar Galactica: Official Variant Rules, Battlestar Galactica: Pegasus Expansion",Extensive use of text - massive conversion needed to be playable,"2009 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2009 Golden Geek Best Board Game Artwork/Presentation Nominee, 2009 Golden Geek Best Gamers' Board Game Nominee, 2009 Golden Geek Best Innovative Board Game Nominee",36,Best with 5 players,21099,7.82,1.53,1580050
Twilight Imperium (Third Edition),30,2005,"Action Point Allowance System, Area-Impulse, Dice Rolling, Hex-and-Counter","Civilization, Negotiation, Political, Science Fiction","Strategy Games, Thematic Games",180240 minutes,12 and up,14 and up,"Twilight Imperium (Third Edition): Shards of the Throne, Twilight Imperium (Third Edition): Shattered Empire",Extensive use of text - massive conversion needed to be playable,"2006 Golden Geek Best Gamer's Board Game Nominee, 2006 Golden Geek Best Wargame Nominee",36,Best with 6 players,12222,7.89,1.67,1661665
Dominion,31,2008,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Medieval",Strategy Games,30 minutes,13 and up,10 and up,"The Books of Magic (Fan Expansion for Dominion), Dominion: Adventures, Dominion: Alchemisten & Reiche Ernte  Mixbox, Dominion: Alchemy",Moderate in-game text - needs crib sheet or paste ups,"2008 Meeples' Choice Award, 2008 Origins Awards Best Traditional Card Game Winner, 2009 As d'Or - Jeu de l'Anne Nominee, 2009 Deutscher Spiele Preis Best Family/Adult Game Winner",24,Best with 3 players,44942,7.77,1.43,2621136
The Resistance: Avalon,32,2012,"Memory, Partnerships, Simultaneous Action Selection, Variable Player Powers","Bluffing, Card Game, Deduction, Fantasy",Party Games,30 minutes,13 and up,12 and up,The Resistance: Avalon Promos,Some necessary text - easily memorized or small crib sheet,"2013 Golden Geek Best Party Board Game Nominee, 2013 Guldbrikken Special Jury Prize Winner",510,Best with 78 players,10005,7.85,1.48,441149
Tigris & Euphrates,33,1997,"Area Control / Area Influence, Hand Management, Set Collection, Tile Placement","Ancient, Civilization, Territory Building",Strategy Games,90 minutes,12 and up,12 and up,Euphrat & Tigris: Die Zikkurat,No necessary in-game text,"1997 Meeples' Choice Award, 1998 Deutscher Spiele Preis Best Family/Adult Game Winner, 1998 Spiel des Jahres Recommended",24,Best with 4 players,17906,7.76,1.49,1283508
Five Tribes,34,2014,"Area Control / Area Influence, Auction/Bidding, Modular Board, Set Collection","Arabian, Mythology",Strategy Games,4080 minutes,13 and up,12 and up,"Five Tribes: Dhenim, Five Tribes: The Artisans of Naqala, Five Tribes: Wilwit",No necessary in-game text,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Strategy Board Game Nominee, 2014 Golden Geek Best Strategy Board Game Winner",24,(Not best with any number),8008,7.86,1.25,455191
War of the Ring (first edition),35,2004,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven","Adventure, Dice, Fantasy, Novel-based","Thematic Games, Wargames",180 minutes,12 and up,14 and up,War of the Ring: Battles of the Third Age,Extensive use of text - massive conversion needed to be playable,"2004 Lucca Games Best Original Game, 2004 Tric Trac Nominee, 2005 International Gamers Awards - General Strategy, Two-players, 2005 Japan Boardgame Prize Best Advanced Game Nominee",24,Best with 2 players,8350,7.85,1.60,1786523
Roll for the Galaxy,36,2014,"Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Player Powers","Dice, Science Fiction, Space Exploration",Strategy Games,45 minutes,13 and up,12 and up,Roll for the Galaxy: Ambition,Moderate in-game text - needs crib sheet or paste ups,"2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Strategy Board Game Nominee, 2014 Golden Geek Board Game of the Year Nominee, 2014 Meeples' Choice Nominee",25,Best with 3 players,5294,7.93,1.27,490538
Mage Wars Arena,37,2012,"Dice Rolling, Grid Movement, Simultaneous Action Selection, Variable Player Powers","Card Game, Fantasy, Fighting",Customizable Games,90 minutes,13 and up,12 and up,"Mage Wars Arena: Battlegrounds Domination, Mage Wars Arena: Promo Pack 01, Mage Wars: Akiros Gunst Promokarte, Mage Wars: Altar of Peace Promo Card",Moderate in-game text - needs crib sheet or paste ups,"2013 Golden Geek Best 2-Player Board Game Nominee, 2013 Golden Geek Best Card Game Nominee, 2013 International Gamers Award - General Strategy: Two-players Nominee, 2013 Origins Awards Best Board Game Nominee",2,Best with 2 players,4813,8.03,1.54,868945
Trajan,38,2011,"Area Movement, Card Drafting, Hand Management, Set Collection","Ancient, Political",Strategy Games,90 minutes,12 and up,12 and up,None,No necessary in-game text,"2011 Jogo do Ano Nominee, 2012 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 2012 Golden Geek Best Innovative Board Game Nominee, 2012 Golden Geek Best Strategy Board Game Nominee",24,Best with 4 players,7045,7.84,1.35,526933
Descent: Journeys in the Dark (Second Edition),39,2012,"Action Point Allowance System, Dice Rolling, Grid Movement, Hand Management","Adventure, Exploration, Fantasy, Fighting",Thematic Games,120 minutes,14 and up,10 and up,"Descent: Journeys in the Dark (Second Edition)  Alric Farrow Lieutenant Pack, Descent: Journeys in the Dark (Second Edition)  Ardus Ix'Erebus Lieutenant Pack, Descent: Journeys in the Dark (Second Edition)  Ariad Lieutenant Pack, Descent: Journeys in the Dark (Second Edition)  Belthir Lieutenant Pack",Extensive use of text - massive conversion needed to be playable,2012 Golden Geek Best Thematic Board Game Nominee,25,Best with 5 players,9954,7.82,1.46,1764870
A Game of Thrones: The Board Game (Second Edition),40,2011,"Area Control / Area Influence, Area Movement, Auction/Bidding, Player Elimination","Bluffing, Fantasy, Negotiation, Novel-based",Strategy Games,120240 minutes,14 and up,14 and up,"A Game of Thrones: The Board Game (Second Edition)  A Dance with Dragons, A Game of Thrones: The Board Game (Second Edition)  A Feast for Crows",Some necessary text - easily memorized or small crib sheet,"2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2013 Ludoteca Ideale Official Selection Winner",36,Best with 6 players,12263,7.80,1.47,1074617
Crokinole,41,1876,Partnerships,Action / Dexterity,Family Games,30 minutes,8 and up,6 and up,None,No necessary in-game text,None,24,"Best with 2, 4 players",6306,7.81,1.65,525052
Russian Railroads,42,2013,Worker Placement,"Industry / Manufacturing, Trains",Strategy Games,90120 minutes,12 and up,12 and up,"Russian Railroads: German Railroads, Russian Railroads: Mini-Expansion",No necessary in-game text,"2013 Meeples' Choice Nominee, 2013 Meeples' Choice Winner, 2014 Deutscher Spiele Preis Best Family/Adult Game Winner, 2014 Gouden Ludo Nominee",24,Best with 4 players,5606,7.85,1.26,342159
Pandemic,43,2007,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement",Medical,"Family Games, Strategy Games",45 minutes,8 and up,10 and up,"Pandemic: In the Lab, Pandemic: On the Brink, Pandemic: Promo Roles, Pandemic: State of Emergency",Some necessary text - easily memorized or small crib sheet,"2008 Golden Geek Best 2-Player Board Game Nominee, 2008 Golden Geek Best Board Game Artwork/Presentation Nominee, 2008 Golden Geek Best Family Board Game Nominee, 2008 Golden Geek Best Gamer's Board Game Nominee",24,Best with 4 players,44752,7.66,1.29,1713079
Nations,44,2013,"Card Drafting, Variable Player Powers","Card Game, Civilization, Economic",Strategy Games,40200 minutes,14 and up,14 and up,"Nations Promo Pack 2014: Inspiration, Nations: Dynasties, Nations: Grand Duchy of Finland promo card, Nations: Hagia Sophia promo card",Moderate in-game text - needs crib sheet or paste ups,"2013 Meeples' Choice Nominee, 2014 International Gamers Award - General Strategy: Multi-player Nominee",15,Best with 3 players,5737,7.85,1.36,621372
Troyes,45,2010,"Area Control / Area Influence, Dice Rolling","Dice, Economic, Medieval",Strategy Games,90 minutes,12 and up,12 and up,"The Ladies of Troyes, Troyes: Bonus Cards",No necessary in-game text,"2010 Jogo do Ano, 2010 Jogo do Ano Nominee, 2011 As d'Or - Jeu de l'Anne Nominee, 2011 Deutscher Spiele Preis Best Family/Adult Game 3rd Place",24,Best with 3 players,9049,7.74,1.33,636530
Suburbia,46,2012,Tile Placement,"City Building, Economic",Strategy Games,90 minutes,8 and up,10 and up,"Suburbia 5, Suburbia Inc, Suburbia: Con Tiles, Suburbia: Essen SPIEL Expansion",Moderate in-game text - needs crib sheet or paste ups,"2012 Meeples' Choice Nominee, 2013 Mensa Select Winner",14,Best with 3 players,10105,7.73,1.23,594232
Ora et Labora,47,2011,"Modular Board, Pattern Building, Set Collection, Tile Placement","City Building, Economic, Industry / Manufacturing, Medieval",Strategy Games,60180 minutes,13 and up,12 and up,Ora et Labora: Loamy Landscape,Some necessary text - easily memorized or small crib sheet,"2011 Jogo do Ano Nominee, 2011 Jogo do Ano Winner, 2011 Meeples' Choice Award, 2012 Best Gamer Game Critic Award",14,Best with 3 players,6138,7.81,1.36,586279
Commands & Colors: Ancients,48,2006,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter","Ancient, Wargame",Wargames,60 minutes,12 and up,12 and up,"Commands & Colors: Ancients Expansion Pack #1  Greece & Eastern Kingdoms, Commands & Colors: Ancients Expansion Pack #2  Rome and the Barbarians, Commands & Colors: Ancients Expansion Pack #3  The Roman Civil Wars, Commands & Colors: Ancients Expansion Pack #4  Imperial Rome",Moderate in-game text - needs crib sheet or paste ups,"2006 Charles S. Roberts Best Pre-World War II Boardgame Nominee, 2006 Golden Geek Best Wargame Nominee, 2006 Origins Awards Historical Board Game of the Year Winner, 2007 Golden Geek Best 2-Player Board Game Nominee",2,Best with 2 players,6128,7.83,1.42,1027027
Castles of Mad King Ludwig,49,2014,"Pattern Building, Set Collection, Tile Placement","Post-Napoleonic, Puzzle",Strategy Games,90 minutes,13 and up,10 and up,"Castles of Mad King Ludwig: Secrets, Zamki szalonego krla Ludwika: Polskie zamki",Some necessary text - easily memorized or small crib sheet,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Family Board Game Nominee, 2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Solo Board Game Nominee",14,Best with 4 players,5536,7.85,1.15,391207
Paths of Glory,50,1999,"Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement","Wargame, World War I",Wargames,480 minutes,14 and up,14 and up,Paths of Glory Player's Guide,Extensive use of text - massive conversion needed to be playable,"1999 Charles S. Roberts Best Pre-World War II Boardgame Nominee, 1999 Charles S. Roberts Best Pre-World War II Boardgame Winner, 1999 Charles S. Roberts Best Wargame Graphics Nominee, 2000 International Gamers Awards - Historical Simulation",2,Best with 2 players,3141,8.03,1.67,710508
Concordia,52,2013,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement","Ancient, Economic, Nautical",Strategy Games,100 minutes,13 and up,12 and up,"Concordia: Britannia & Germania, Concordia: Salsa",Moderate in-game text - needs crib sheet or paste ups,"2013 Meeples' Choice Nominee, 2013 Meeples' Choice Winner, 2014 International Gamers Award - General Strategy: Multi-player Nominee, 2014 Kennerspiel des Jahres Nominee",25,Best with 4 players,4915,7.86,1.14,305725
