name,address,zipCode,contactName,contactPhone,website,profileUrl,jobCostMin,jobCostMax,licenseNumber,averageRating,followers,following,badgeCount,projectCount,reviewCount,commentCount
JFS CONSTRUCTION GROUP INC,7141 Woodley Ave,91406,John Safri,(818) 785-9925,http://www.jfsconstruction.com,http://www.houzz.com/pro/jfsconstructiongroup/jfs-construction-group-inc,null,null,null,3.6,17,0,null,1,3,null
Mathis Construction,%!s(bool=false),%!s(bool=false),:,(310) 850-3994,null,http://www.houzz.com/pro/mathis/mathis-construction,null,null,null,5,15,0,null,2,1,null
So-Cal Builders,PO Box 14055,92255,Michael Roberts,(760) 343-1134,http://www.so-calbuilders.com,http://www.houzz.com/pro/socalbuilders3226/so-cal-builders,null,null,713168,5,82,237,3,27,7,null
"California Construction Center, Inc.",%!s(bool=false),%!s(bool=false),:,(800) 519-6531,http://www.caconstructioncenter.com,http://www.houzz.com/pro/californiaconstructioncenter/california-construction-center-inc,null,null,null,5,96,1,2,9,23,null
"Projex Pacific, Inc.",%!s(bool=false),%!s(bool=false),:,(626) 287-6062,http://www.projexpacific.com,http://www.houzz.com/pro/ppikumi/projex-pacific-inc,null,null,null,5,5,0,null,3,1,null
Chelsea Construction Corporation,4529 Angeles Crest Highway Suite #103,91011,Mark Snashall,(818) 949-4595,http://www.chelseaconstructioncorp.com,http://www.houzz.com/pro/chelseaconstruction/chelsea-construction-corporation,null,null,null,4.9,289,null,7,44,27,99
TREND-TECH BUILDERS,3480 RADCLIFFE ROAD,91360,GARY RIDDAGH,(805) 300-1093,http://WWW.TRENDTECHBUILDERS.COM,http://www.houzz.com/pro/trendtechbuilders/trend-tech-builders,null,null,465288,5,9,1,1,13,5,null
Flooring Supply Shop,%!s(bool=false),%!s(bool=false),:,(323) 731-8453,http://www.flooringsupplyshop.com,http://www.houzz.com/pro/flooringsupply/flooring-supply-shop,null,null,null,5,24,8,2,18,3,30
Palatin Remodeling Inc.,28720 Road Side Dr,91301,Gil Palatin,(888) 586-2323,http://www.palatinremodeling.com/,http://www.houzz.com/pro/palatinremodelinginc/palatin-remodeling-inc,null,null,null,4,20,0,null,2,1,null
Northworks Restoration,4508 Atlantic Ave,90807,Mark Northacker,(562) 235-0236,http://www.northworksrestoration.com,http://www.houzz.com/pro/mnorth57/northworks-restoration,null,null,978171,4,1,0,null,0,1,null
Oran Remodeling Inc.,%!s(bool=false),91403,Shay Ram,(818) 822-3389,http://www.OranRemodeling.com,http://www.houzz.com/pro/shayram/oran-remodeling-inc,null,null,911736,5,14,7,2,16,10,null
Team Remodeling & Construction Inc.,2322 Teller Rd.,91320,Yigal Boganim,(805) 499-8400,http://www.team-remodeling.com,http://www.houzz.com/pro/yboganim/team-remodeling-and-construction-inc,null,null,821162,5,15,0,1,2,2,2
HC Construction Co.,5500 Beran St.,90503,Henry Cornejo,(323) 353-0631,http://www.hcconstructionco.com,http://www.houzz.com/pro/henrycornejo/hc-construction-co,null,null,788384,5,11,0,null,2,1,null
Roman James Design Build,"8383 Wilshire Blvd, 8th Floor",90211,Roman James,(310) 295-2281,http://rjdesignbuild.com,http://www.houzz.com/pro/rjdesignbuild/roman-james-design-build,null,null,null,5,25,0,1,2,2,null
RCM CONSTRUCTION INC.,9643 8th St.,91730,PEDRO RANGEL,(909) 483-7540,null,http://www.houzz.com/pro/torchi/rcm-construction-inc,null,null,794351,5,1,0,null,0,1,null
Amendt Construction,1565 Calle La Cumbre,93010,Monte Amendt,(805) 218-0432,http://amendtconstruction.com,http://www.houzz.com/pro/buildermonte/amendt-construction,null,null,B578447,5,36,1,2,16,7,5
Tip Top Builders Inc,7256 Bellaire Ave,91605,tom yofe,(877) 842-8220,http://www.tiptopremodeling.com,http://www.houzz.com/pro/tomyofe/tip-top-builders-inc,null,null,899887,5,2,0,null,0,2,null
Foothill Construction    General Contractors,%!s(bool=false),91214,Chris Kilpatrick or Doug Kilpatrick,(818) 957-2494,http://foothillconstruction.net/,http://www.houzz.com/pro/foothillconstruction/foothill-construction-general-contractors,null,null,null,5,0,0,null,0,1,null
Binder Building,%!s(bool=false),%!s(bool=false),Gary Binder,(818) 914-5704,http://www.binderbuilding.com,http://www.houzz.com/pro/xsw2xsw2/binder-building,null,null,945601,5,39,56,2,8,5,null
Locksmith Redondo Beach,2204 Vanderbilt Ln #810,90278,Bruce Underwood,(310) 957-3224,http://www.locksmith-redondobeach.com,http://www.houzz.com/pro/locksmithredondobeach/locksmith-redondo-beach,null,null,null,5,0,0,null,0,1,null
AGA Construction Inc,18375 Ventura Blvd. #548,91356,Ariel Azriel,(818) 996-7575,http://www.losangelesrenovations.com,http://www.houzz.com/pro/agaconstructioninc/aga-construction-inc,null,null,918705,4.9,259,856,3,38,29,13
Contract Development Inc.,P.O. Box 8148,91302,Contract Development,(818) 715-0007,http://www.contractdevelopmentinc.com,http://www.houzz.com/pro/contractdevelopment/contract-development-inc,null,null,619121,5,7,3,1,6,3,2
Allstar Air Conditioning & Heating,%!s(bool=false),91730,Jose Navarro,(909) 285-2277,http://www.allstar-air.com,http://www.houzz.com/pro/allstar-air/allstar-air-conditioning-and-heating,null,null,926415,3,5,3,null,6,2,null
Green renovation inc,15024 Hesby,91403,Rosalyne In,(888) 351-1181,http://www.greenrenovationinc.com,http://www.houzz.com/pro/greenrenovation/green-renovation-inc,null,null,978716,5,5,0,1,10,1,null
Sapien Construction,251 E Rose St,93033,Eric Sapien,(805) 889-3156,http://sapienconstruction.com,http://www.houzz.com/pro/sapien/sapien-construction,null,null,916587,5,133,1012,null,14,1,null
Locksmith Panorama City,8745 Willis Ave #710,91402,Antonio Johnson,(818) 661-1164,http://www.locksmithpanoramacity.com,http://www.houzz.com/pro/locksmithpanoramacity/locksmith-panorama-city,null,null,null,5,1,0,null,0,1,null
California Crafted,78-206 Varner Rd Suite D20,92211,California Crafted Construction,(760) 522-1885,http://www.californiacraftedconstruction.com,http://www.houzz.com/pro/mike-erwin/california-crafted,null,null,Lic # 1003986,5,9,3,1,5,1,null
"Loyalty Construction, Inc.",14542 Ventura Blvd. Ste. # 203,91403,Roi Gavriely,(800) 794-8404,http://www.loyalty-construction.com,http://www.houzz.com/pro/123loy/loyalty-construction-inc,null,null,877487,5,14,2,1,16,2,1
Skyline Construction And Remodeling,20058 Ventura Blvd #204,91364,Eric Saida,(888) 216-1885,http://ericsskyline.houzz.com,http://www.houzz.com/pro/ericsskyline/skyline-construction-and-remodeling,null,null,859873,4.8,78,228,4,6,18,2
"Eye for Detail, Inc.",1450 Whitefield Rd.,91104,Reva Kussmaul,(626) 791-6283,http://eyefordetailinc.com,http://www.houzz.com/pro/reva-kussmaul/eye-for-detail-inc,null,null,811341,5,62,13,3,13,4,2
A-1 Construction,%!s(bool=false),%!s(bool=false),:,(310) 204-5533,http://www.A1constructiondesigns.com,http://www.houzz.com/pro/ronniea1/a-1-construction,null,null,null,5,28,0,2,2,2,null
CKlein Properties,9000 W. Sunset Blvd. Suite 1100,90069,Christine Klein,(310) 623-1380,http://CKleinProperties.com,http://www.houzz.com/pro/ckleinproperties/cklein-properties,null,null,null,4.9,118,5,4,17,18,1
Theo's Improvement,%!s(bool=false),90029,Theo,(323) 875-6543,null,http://www.houzz.com/pro/dianos55/theos-improvement,null,null,null,5,1,0,null,0,1,null
HLS Remodeling and Design Inc.,%!s(bool=false),91335,Mike Hen,(818) 968-9500,http://www.hlsremodel.com,http://www.houzz.com/pro/hlsremodel/hls-remodeling-and-design-inc,null,null,991899,4.5,50,17,3,4,8,17
One Creative Group Inc.,13816 Calvert St,91401,Amos Chomut,(213) 910-0005,http://artandconstruction.us,http://www.houzz.com/pro/achomut/one-creative-group-inc,null,null,628294,4.7,25,7,null,8,4,null
Kasis Construction Inc.,7621 Tobias Ave,91405,Gabriel Abikasis,(818) 908-1374,http://kasisconstruction.com,http://www.houzz.com/pro/kasisconstruction/kasis-construction-inc,null,null,B-949265,5,126,26,5,8,4,11
DANA BENSON CONSTRUCTION,31826 Village Center Rd.,91361,Dana Benson,(818) 874-1418,http://www.danabensonconstruction.com,http://www.houzz.com/pro/danabensonconstruction/dana-benson-construction,null,null,B-841251,5,233,67,3,10,10,35
The Alexander Building Co.,Contact For Appointment,90026,Alexander Symcox,(310) 266-2662,http://alexanderbuilding.co,http://www.houzz.com/pro/alxbldgco/the-alexander-building-co,null,null,980164,5,50,9,1,6,3,1
West Remodeling,408 South Pasadena Ave. #1,91105,Rick West,(818) 952-9911,http://wri1.houzz.com,http://www.houzz.com/pro/wri1/west-remodeling,null,null,811614,5,19,9,2,7,7,null
"Louk Enterprise, Inc.",%!s(bool=false),91364,Asher Louk,(310) 929-4770,http://www.loukenterprise.com,http://www.houzz.com/pro/alouk/louk-enterprise-inc,null,null,873019,5,20,1,2,15,5,16
Doug Raub Design and Development,%!s(bool=false),91423,Doug Raub,(818) 679-2712,http://dougraub.com,http://www.houzz.com/pro/doug9292/doug-raub-design-and-development,null,null,723625,5,1,0,null,2,2,null
Osborne Building Corporation,"8391 Beverly Blvd, # 590",90048,Graham Osborne,(323) 951-1004,http://www.osbornebuilding.com,http://www.houzz.com/pro/osbornebuilding/osborne-building-corporation,null,null,861951,5,12,0,null,3,1,null
Cheney Builders,6046 Shasta Pl.,93012,Shaun Cheney,(805) 910-7080,http://cheneybuilders.com,http://www.houzz.com/pro/cheneybuilders/cheney-builders,null,null,968885,5,11,0,1,9,3,null
Topaz Construction and Development,%!s(bool=false),%!s(bool=false),:,(844) 585-7949,http://http://www.topazremodeling.com/,http://www.houzz.com/pro/topazconstructionanddevelopment/topaz-construction-and-development,null,null,null,5,2,0,null,8,1,null
Rite Fast Construction,%!s(bool=false),90405,Benjamin Conn,%!s(bool=false),http://www.ritefastconstruction.com,http://www.houzz.com/pro/benjamin-conn/rite-fast-construction,null,null,null,5,13,16,1,5,1,null
Sonny Construction Company,29033 Ave. Sherman suite 209,91355,Gregg Johnson,(661) 257-7222,http://www.sonnyconstruction.com,http://www.houzz.com/pro/sonnycc/sonny-construction-company,null,null,966562,5,9,0,1,8,3,null
Wright Way Builders Contracting,2699 E. 28th St.,90755,Chelsea Wright,(800) 580-0271,http://wrightwaybuilders.com/,http://www.houzz.com/pro/wrightwaybuilders/wright-way-builders-contracting,null,null,960749,4.7,69,11,3,22,19,null
"Capital Construction & Development, Inc.",1127 S. Alfred St,90035,Aharon Vaknin,(323) 951-9897,http://www.capitalbuilds.com,http://www.houzz.com/pro/capital-construction/capital-construction-and-development-inc,null,null,856150,4.8,42,11,2,18,6,null
Eden Builders,4616 Santa Lucia drive,91364,Ron O Litman,(888) 973-6635,http://www.eden-builders.com,http://www.houzz.com/pro/vedeno/eden-builders,null,null,891510,5,36,15,4,19,12,1
"Triumph Construction, Inc.","1309 Pico Blvd, Suite B",90405,Bill Rosenberg,(310) 396-9796,http://www.triumphconstruction.com/,http://www.houzz.com/pro/triumphc/triumph-construction-inc,null,null,688865,5,22,0,1,14,10,null
"NGK Construction, Inc.",%!s(bool=false),91739,Nicholas Karaiscos,(909) 228-6399,http://ngkconstruction.com,http://www.houzz.com/pro/ngkconstruction/ngk-construction-inc,null,null,B-868591,5,32,57,null,8,1,null
SML Design & Remodeling Inc.,P.o.box 112,90213,Mooni Levy,(310) 383-3313,http://moonisml1.houzz.com,http://www.houzz.com/pro/moonisml1/sml-design-and-remodeling-inc,null,null,973862,5,61,16,3,11,13,3
"Otis Bradley Company, Inc.",1005 N Signal St,93023,Otis Bradley,(805) 639-0099,http://otisbradley.com,http://www.houzz.com/pro/otisbradley/otis-bradley-company-inc,null,null,null,5,56,16,2,6,3,1
"D Square Construction Services, Inc.",P.O. Box 1162,90272,David Dwyer,(323) 373-9630,null,http://www.houzz.com/pro/dsquaremalibu/d-square-construction-services-inc,null,null,822701,5,1,0,null,2,2,null
RAP Construction Group,%!s(bool=false),91606,Roni Pinhas,(818) 633-2277,http://homeremodelinginlosangeles.com/,http://www.houzz.com/pro/rapconstruction/rap-construction-group,null,null,884507,5,13,4,1,3,3,null
Calico Construction,%!s(bool=false),91307,Danny Cohen,(866) 453-3528,http://www.calico-construction.com,http://www.houzz.com/pro/calico23705/calico-construction,null,null,659475,5,1,6,null,2,1,null
"Azteca 111 Builders, Inc.",2150 1/2 W. Sunset Blvd.,90026,Rick Valdez & Lucia Marano de Valdez,(323) 669-8448,http://www.Azteca111Builders.com,http://www.houzz.com/pro/azteca111/azteca-111-builders-inc,null,null,894673,4.7,14,0,1,2,4,null
"Hi-Tech Builders, Inc.",%!s(bool=false),%!s(bool=false),:,(888) 433-7155,http://hi-techbuildersinc.com/,http://www.houzz.com/pro/hitechbuildersinc/hi-tech-builders-inc,null,null,null,5,46,199,2,20,12,4
Regal Construction & Remodeling Inc.,19537 1/2 Ventura Blvd,91356,Sean Aichel,(818) 340-1700,http://www.regalrenovation.com,http://www.houzz.com/pro/sean071/regal-construction-and-remodeling-inc,null,null,909023,4.8,94,27,5,22,20,38
4 season remodeling & design Inc,%!s(bool=false),91362,4 seasons remodeling & design inc,(818) 516-7725,http://4scd.com,http://www.houzz.com/pro/4scd/4-season-remodeling-and-design-inc,null,null,982386,4.8,0,0,2,0,11,null
United Builders of LA,"18169 KITTRIDGE ST,",91335,Nir Dayan,(866) 840-7767,http://www.unitedbuildersla.com,http://www.houzz.com/pro/unitedbuildersofla/united-builders-of-la,null,null,851344,5,9,0,null,4,1,null
Haven & Associates,"2641 Townsgate Road, Suite 500",91361,Gary Haven,(818) 532-7496,http://www.havenassociatesllc.com,http://www.houzz.com/pro/akashaven/haven-and-associates,null,null,B - 720984,5,54,23,5,43,32,2
Green Works Construction & Design Inc,20301 ventura blvd #222,91364,Omri Moalem,(888) 513-8444,http://greenworks-construction.com,http://www.houzz.com/pro/greenworks995511/green-works-construction-and-design-inc,null,null,936962,5,92,4,3,12,12,5
"AAA Development, Inc.","575 South Dawson Drive, Suite 203",93012,Mike Seay,(805) 482-7191,http://www.aaadevelopment.biz,http://www.houzz.com/pro/aaadevelopment/aaa-development-inc,null,null,897040,5,127,121,6,24,19,14
Clark Development Corporation,"84573, Anchora Way",92203,Shaun Clark,(760) 989-0099,http://clarkdev.houzz.com,http://www.houzz.com/pro/clarkdev/clark-development-corporation,null,null,893790,4.8,47,6,3,9,7,1
"SOD BUILDERS, INC.",%!s(bool=false),%!s(bool=false),Oren Dagan,(800) 401-3220,http://www.sodbuilders.com,http://www.houzz.com/pro/oren1180/sod-builders-inc,null,null,null,4.8,926,0,6,39,36,80
J.E.M. Construction Services,27000 De Berry Drive,91301,Todd Bublitz,(818) 497-5701,http://www.jemconstructionservices.com,http://www.houzz.com/pro/jemconstructionservices/jem-construction-services,null,null,486483B,5,14,0,1,6,4,null
Shanti Construction Inc.,17314 Crenshaw Blvd,90504,R Shanti,(310) 985-2963,http://www.shanticonstructioninc.com,http://www.houzz.com/pro/shantiran/shanti-construction-inc,null,null,992588,5,1,0,null,0,1,null
Cielo Construction Company,1053 Colorado Blvd #C,90041,"Cielo Construction, Inc.",(800) 897-3114,http://www.Cieloconstruction.com,http://www.houzz.com/pro/cieloconstruction/cielo-construction-company,null,null,983179,5,69,68,2,18,30,5
"Aligned Construction Company, Inc.",8763 Lankershim Blvd.,91352,Osmin Hernandez,(818) 620-7462,http://www.alignedconstructionco.com/Home.html,http://www.houzz.com/pro/alignedconstructionco/aligned-construction-company-inc,null,null,894983,5,1,0,null,2,2,null
Right Angle Builders,%!s(bool=false),90732,John Heins,(626) 272-6057,http://www.flickr.com/photos/rightanglebuilders,http://www.houzz.com/pro/raangleb/right-angle-builders,null,null,B924171,5,1,0,1,0,1,null
Grady Construction & Development,515 S. Vermont Ave,91741,John Grady,(626) 963-3095,http://gradyconstruction.com,http://www.houzz.com/pro/gradyconstruction/grady-construction-and-development,null,null,600748,5,18,0,null,4,1,null
Performance Construction & Remodeling Inc.,"4195 Chino Hills Pkwy, #102",91709,Michael Bergamo,(714) 655-6427,http://performanceconstructionandremodelin.houzz.com,http://www.houzz.com/pro/performanceconstructionandremodelin/performance-construction-and-remodeling-inc,null,null,868406,5,17,13,null,4,1,null
Fairlane Builders,4705 W. 191 ST,90503,Louis Quaglietta,(310) 370-5517,http://fairlanebuilders.com,http://www.houzz.com/pro/louquaglietta/fairlane-builders,null,null,826300,5,16,2,2,2,5,null
{environmental concept},%!s(bool=false),%!s(bool=false),:,(818) 787-7329,http://www.envconcept.com/,http://www.houzz.com/pro/environmental-concept/environmental-concept,null,null,null,5,114,0,3,5,1,4
Water Damage Restoration | Regal Flood,%!s(bool=false),91303,Danny Forster,(866) 460-0078,http://www.regalflood.com/lp/rr,http://www.houzz.com/pro/regalflood/water-damage-restoration-regal-flood,null,null,null,5,1,0,null,3,1,null
Ewell Construction,%!s(bool=false),%!s(bool=false),:,(562) 494-4000,http://www.ewellconstruction.com/,http://www.houzz.com/pro/ewellconstructionca/ewell-construction,null,null,null,5,0,0,null,0,1,null
The Nickel Company,29147 Oak Path Drive,91301,Richard Nazarian,(818) 879-0039,http://www.TheNickelCompany.Com,http://www.houzz.com/pro/richard-nazarian/the-nickel-company,null,null,482331,5,30,3,2,9,3,2
joseph a borci III and associates inc.,450 vista dorado ln,91377,joseph borci,(818) 597-9757,null,http://www.houzz.com/pro/jborcii/joseph-a-borci-iii-and-associates-inc,null,null,672433,4.7,11,1,4,3,7,null
DECRA Roofing Systems,1230 Railroad Ave,92880,DECRA Roofing Systems,(800) 258-9740,http://www.decra.com,http://www.houzz.com/pro/decra/decra-roofing-systems,null,null,null,5,20,0,null,3,1,null
Hearth and Stone,67984 Club House Rd,92241,Carl Roth,(760) 333-7677,http://www.hearthandstone.biz,http://www.houzz.com/pro/egcjonny5/hearth-and-stone,null,null,921441,4.6,17,4,1,7,3,null
Paragon Builders,13951 MOORPARK STREET #305,91423,Guy Liba,(323) 834-9812,http://www.paragonbuildersca.com,http://www.houzz.com/pro/paragonbuildersca/paragon-builders,null,null,942083,5,18,0,null,3,2,null
JT Design and Build Inc.,%!s(bool=false),%!s(bool=false),Jack Ter-Arutyunyan,(818) 416-1612,null,http://www.houzz.com/pro/jtdesignandbuild/jt-design-and-build-inc,null,null,975806,5,1,0,1,0,2,null
Sterling Construction,%!s(bool=false),%!s(bool=false),:,(818) 700-8883,http://www.sterlingconstruction.us,http://www.houzz.com/pro/gr8strider/sterling-construction,250 per sq. ft.,400 per sq. ft.,null,5,0,0,null,0,1,null
Complete Building Concepts,%!s(bool=false),91320,Robert Besinger,(805) 236-5369,http://complete_building_concepts.houzz.com,http://www.houzz.com/pro/complete-building-concepts/complete-building-concepts,null,null,827876,5,19,5,2,14,10,null
"California Foundation Works, Inc.",9903 Santa Monica Blvd # 1047,90212,Kobi Cohen,(323) 418-2239,http://californiafoundationworks.com/,http://www.houzz.com/pro/cafoundationworks/california-foundation-works-inc,null,null,B 976188,5,null,null,null,null,1,null
Green Future Construction,%!s(bool=false),%!s(bool=false),Moses Cohen,%!s(bool=false),http://www.greenfutureconstruction.com/,http://www.houzz.com/pro/greenfuture/green-future-construction,null,null,928625,5,1,0,null,2,1,1
btr Construction inc,13825 Friar st,91401,leif johansen,(323) 353-8686,null,http://www.houzz.com/pro/bigleif1/btr-construction-inc,null,null,875887,5,1,0,null,0,1,null
Scala Construction Inc.,%!s(bool=false),91356,Scala Construction,(323) 286-7555,http://www.grupposcala.com,http://www.houzz.com/pro/scalaconstruction/scala-construction-inc,null,null,941980,4.5,232,237,4,6,9,12
Regal Restoration,%!s(bool=false),91303,Danny Forster,(877) 772-3725,http://www.regal-restoration.com,http://www.houzz.com/pro/rglcrpt1/regal-restoration,null,null,907599,5,1,1,3,5,9,null
Lotus Construction Group,%!s(bool=false),91711,Mark Ashworth,(909) 621-1558,http://www.lotuscg.com,http://www.houzz.com/pro/lotusindigo/lotus-construction-group,null,null,CSL# 801827,4.9,84,7,7,10,16,84
mk builders,1103 w 160 st,90247,ivan vu,%!s(bool=false),null,http://www.houzz.com/pro/ivanvu/mk-builders,null,null,null,4,7,0,null,0,1,null
McCraw Design & Development,1028 S Bedford St. Suite 5,90035,Christopher McCraw,(310) 666-5279,http://www.mccrawdesigndevelopment.com,http://www.houzz.com/pro/christopher-mccraw/mccraw-design-and-development,null,null,864654,5,109,285,3,13,10,1
M.Y. Pacific Building Inc,18750 Oxnard St. Suite 410,91356,Steve Rothhammer,(818) 705-8226,http://www.mypacificbuildinginc.com,http://www.houzz.com/pro/srothhammer/my-pacific-building-inc,null,null,null,5,1,0,null,2,1,null
True Building Inc.,%!s(bool=false),91401,Matt Allen,(303) 870-0398,http://www.truebuilding.net,http://www.houzz.com/pro/truebuilding/true-building-inc,null,null,938015,5,76,4,4,15,6,5
"Polaris Development & Construction, Inc.","20058 VENTURA BLVD, SUITE 55",91364,"Polaris Development & Construction, Inc.",(877) 808-0380,http://www.polarisbuilds4u.com,http://www.houzz.com/pro/webuser-742601/polaris-development-and-construction-inc,null,null,null,5,15,4,3,8,5,null
Eco Design Pro,6110 Nevada Ave #212,91367,Ori Sakal,(818) 428-7485,http://www.EcoDesignPro.com,http://www.houzz.com/pro/byecodesignpro/eco-design-pro,null,null,1004106,5,0,0,1,5,8,null
Concept Builders,1420 Arrow Hwy,91706,Don Boline,(626) 303-5052,http://www.conceptbuilders.biz,http://www.houzz.com/pro/don-boline/concept-builders,null,null,643751,5,11,0,null,3,1,null
SoCal Contractor,3289 Veteran Ave,90034,Roy Yerushalmi,(310) 774-6498,http://SoCalContractor.com,http://www.houzz.com/pro/socalcontractor/socal-contractor,50000,15000000,null,4.9,1973,503,8,65,38,935
C & C Partners Design/Build Firm,1601 Pacific Coast Highway # 160,90254,Patrick Cunningham,(310) 322-0803,http://www.candcpartners.com,http://www.houzz.com/pro/candcpartnersdesignbuild/c-and-c-partners-design-build-firm,null,null,654337,5,207,30,3,18,4,4
Archer Building Group,707 Torrance Blvd. Suite 100,90277,Ben Archer,(310) 602-1492,http://www.archerbuilding.com,http://www.houzz.com/pro/archerbuilding/archer-building-group,null,null,950938,5,36,1,1,11,4,6
Energy Green Builders,%!s(bool=false),%!s(bool=false),:,(800) 767-0153,http://www.energygreenbuilders.com/,http://www.houzz.com/pro/energygreenbuilders/energy-green-builders,null,null,null,5,1,0,null,3,2,null
TAL DREAM DESIGN INC.,6860 Canby Ave,91335,neil fantone,(301) 500-7558,http://www.taldreamdesign.com,http://www.houzz.com/pro/tddinc/tal-dream-design-inc,null,null,null,5,0,0,null,0,1,null
JUST DO IT BUILDERS,%!s(bool=false),%!s(bool=false),:,(877) 415-7033,http://www.justdoitbuilders.com,http://www.houzz.com/pro/yalieliam/just-do-it-builders,null,null,null,4.6,16,0,2,7,10,null
Artisan Pacific Construction Inc.,2752 Clearwater,90039,Scott Renner,(323) 666-2369,http://www.artisanpacific.com,http://www.houzz.com/pro/artisanpacificgc/artisan-pacific-construction-inc,null,null,881433,5,53,3,3,9,8,45
L L P Construction,840 Norway Lane,90049,Bryan Fisher,(310) 922-4034,http://llpconstructionla.com,http://www.houzz.com/pro/bryanwfisher/l-l-p-construction,null,null,905116,5,82,4,7,9,11,10
