name,address,zipCode,contactName,contactPhone,website,profileUrl,jobCostMin,jobCostMax,licenseNumber,averageRating,followers,following,badgeCount,projectCount,reviewCount,commentCount
BRUDER CONSTRUCTION INC,%!s(bool=false),91307,Jay Bruder,(818) 992-3315,http://www.bruderconstruction.com,http://www.houzz.com/pro/jaybruder/bruder-construction-inc,null,null,CSLB 700657,null,2,0,null,5,null,2
Leokey construction inc,%!s(bool=false),%!s(bool=false),:,(626) 638-3035,null,http://www.houzz.com/pro/leokey328/leokey-construction-inc,null,null,null,null,0,0,null,0,null,null
Heritage Made,%!s(bool=false),%!s(bool=false),David Mimms,%!s(bool=false),http://www.heritagemade.com,http://www.houzz.com/pro/david-mimms/heritage-made,null,null,null,null,29,7,null,0,null,null
General Contractors 1,%!s(bool=false),90025,Victor Merino,(866) 931-3853,http://www.generalcontractors1.com,http://www.houzz.com/pro/generalcontractors1/general-contractors-1,null,null,null,null,0,0,null,2,null,null
Sicalco builders,%!s(bool=false),%!s(bool=false),:,(310) 486-6892,http://Sicalco.com,http://www.houzz.com/pro/sicalco/sicalco-builders,null,null,null,null,0,0,null,0,null,null
SJ Seery Construction,%!s(bool=false),90808`,sam seery,(562) 884-1280,http://sjseery.com/,http://www.houzz.com/pro/sjseeryconstruction/sj-seery-construction,null,null,ca 364290,null,0,0,null,2,null,null
Joel Eckels,1326 n ave 56,90042,Joel Eckels,(213) 842-3806,null,http://www.houzz.com/pro/joel-eckels/joel-eckels,null,null,null,null,14,24,null,0,null,null
Pro Sets West Construction Inc.,%!s(bool=false),%!s(bool=false),:,(818) 266-9091,http://Prosetswest.com,http://www.houzz.com/pro/charlesnappi1966/pro-sets-west-construction-inc,null,null,null,null,0,0,null,0,null,null
West Construction and Design,%!s(bool=false),90275,Rick Marshall,(310) 547-0304,http://www.westconstructionanddesign.com,http://www.houzz.com/pro/westconstructionanddesign/west-construction-and-design,null,null,null,null,6,0,null,2,null,null
Fab Construction,357 N Sheridan St,92880,Franco Bersano,(951) 356-4126,http://www.fabconstruction.com/,http://www.houzz.com/pro/franco-bersano/fab-construction,null,null,null,null,3,2,null,3,null,null
Dream Builders,%!s(bool=false),%!s(bool=false),:,(818) 568-9219,null,http://www.houzz.com/pro/arturshirinyan/dream-builders,null,null,null,null,0,0,null,0,null,null
First Point Construction,%!s(bool=false),91602,Paul Sharrigan Dan Corleto,(818) 766-0215,null,http://www.houzz.com/pro/fpcbiz/first-point-construction,null,null,B897084,null,2,1,null,0,null,null
Art Members Inc.,%!s(bool=false),%!s(bool=false),Chris Lee,(213) 500-9040,http://www.artmembers.us,http://www.houzz.com/pro/swizzprayer/art-members-inc,null,null,B986702,null,1,0,null,0,null,null
Structure Home,21101 Oxnard Street,91367,Structure Home,(818) 598-1330 ext. 150,http://www.StructureHome.com,http://www.houzz.com/pro/losangelescustomhomebuilder/structure-home,null,null,721043,null,77,5,3,19,1,5
luna concrete,13516 ardmore pl,91710,robert luna,(626) 806-3191,null,http://www.houzz.com/pro/robertluna/luna-concrete,null,null,null,null,0,0,null,0,null,null
GWC GENERAL CONSTRUCTION,35325 Date Palm Dr. Suite # 243,92234,Guillermo Caipo,(760) 219-6445,http://www.gwcgeneralconstruction.com,http://www.houzz.com/pro/guillermo-caipo/gwc-general-construction,null,null,"B, C-53 # 816693",null,5,2,null,2,null,null
Locksmith Burbank,216 N Buena Vista St #607,91505,Jeff Archuleta,(818) 922-0764,http://www.locksmith-burbank-ca.com,http://www.houzz.com/pro/locksmithburbankca/locksmith-burbank,null,null,null,null,0,0,null,0,null,null
Black Forest Contractors,%!s(bool=false),91302,Carsten Cramer,(818) 468-3440,http://gobfci.com/,http://www.houzz.com/pro/blackforestinc/black-forest-contractors,null,null,null,null,1,0,null,5,null,null
AAA general constrution,%!s(bool=false),%!s(bool=false),:,(818) 780-1890,http://www.aaaforla.com,http://www.houzz.com/pro/aaaforla/aaa-general-constrution,null,null,null,null,1,0,1,0,1,null
"Plan Tech, Inc.",%!s(bool=false),923738160,Jon Greenfield,(909) 798-5951,null,http://www.houzz.com/pro/jgreenfield37/plan-tech-inc,null,null,null,null,0,0,null,0,null,null
Robert Pollock,2929 E VIA VAQUERO RD,92262,Robert Pollock,(760) 799-9805,http://lisatec.com,http://www.houzz.com/pro/whynever/robert-pollock,null,null,919243,null,3,0,1,3,null,13
Clear Vision Construction,"25574 Rye Canyon Road, Uint C",91355,Jeff Berry,(661) 261-4262,http://www.ClearVisionCC.com,http://www.houzz.com/pro/clearvisioncc/clear-vision-construction,null,null,946039,null,5,0,null,3,null,null
TCWRCContractorsLosAngeles,%!s(bool=false),90047,Lauen Gadner,(323) 285-5345,http://www.contractorslosangeles.org/index.html,http://www.houzz.com/pro/tcwrccontractorslosangeles/tcwrccontractorslosangeles,null,null,null,null,1,0,null,0,null,null
ray kinner builders,%!s(bool=false),%!s(bool=false),debra kinner,%!s(bool=false),null,http://www.houzz.com/pro/raykinnerbuild/ray-kinner-builders,null,null,240260,null,1,0,null,0,null,1
architecte Morroco,%!s(bool=false),91401,sofia,(818) 786-0998,null,http://www.houzz.com/pro/sofia-bouziane/architecte-morroco,null,null,null,null,0,0,null,0,null,null
Contractors Lakewood,%!s(bool=false),90713,Erica Grasser,(562) 448-1159,http://www.contractorslakewood.org,http://www.houzz.com/pro/contractorslakewood/contractors-lakewood,null,null,null,null,1,0,null,0,null,null
AG & B Construction,%!s(bool=false),91107,Tony Gonzalez,(310) 261-0553,null,http://www.houzz.com/pro/tonyglez01/ag-and-b-construction,null,null,null,null,0,0,null,2,null,null
Brio Construction,8780 19th St #184,91701,James Farmer,(909) 969-4052,http://brioconstruction@yahoo.com,http://www.houzz.com/pro/briojames/brio-construction,null,null,512197,null,1,0,null,0,null,null
Taylor Pacific Construction,null,93063,null,(818) 448-8717,null,null,null,null,null,null,null,null,null,null,null,null
Lin-On Me  Construction,817 s verdugo rd #A,91205,Lino Alvarez,(323) 867-2567,null,http://www.houzz.com/pro/alvarezlino/lin-on-me-construction,null,null,920136,null,1,0,null,2,null,null
polo construction,4874 e gage av 130,9021,polo malpica,(323) 359-0570,http://www.polo-construction-company.com,http://www.houzz.com/pro/malpica/polo-construction,null,null,null,null,1,0,null,0,null,null
Robert M. Pagan Construction Company Inc.,8125 Loyola Blvd,90045,Robert Pagan,(310) 678-6716,http://www.robertpaganbuilders.com,http://www.houzz.com/pro/loyola77/robert-m-pagan-construction-company-inc,null,null,B-1 509594,null,14,1,null,2,null,null
Brycobleu Construction Inc,PO. Box 1085,91729,Haile Gabourel,(760) 927-8969,http://www.brycobleuconstruction.com,http://www.houzz.com/pro/brycobleu/brycobleu-construction-inc,null,null,null,null,0,0,null,0,null,null
"RJ Design & Construction, Inc.",9903 Santa Monica Blvd. #115,90212,Ron Jacobs,(310) 274-7200,http://www.rjdesign-construction.com,http://www.houzz.com/pro/rj2design/rj-design-and-construction-inc,null,null,null,null,3,0,null,0,null,null
AMG  Gral .Co.Inc,%!s(bool=false),%!s(bool=false),:,(310) 502-8086,null,http://www.houzz.com/pro/jesgh/amg-gral-coinc,null,null,null,null,0,0,null,0,null,null
Creative Home Remodeling Group Inc.,%!s(bool=false),91423,David Eliyahu,(855) 879-6797,http://creativeremodeling.ca,http://www.houzz.com/pro/dadi0919/creative-home-remodeling-group-inc,null,null,943341,null,1,0,null,13,null,null
Court Haney,10279 Erie Street,93004,Court Haney,(805) 889-5567,http://www.courthaneyhandyman.com,http://www.houzz.com/pro/chaney6464/court-haney,null,null,null,null,6,0,null,0,null,null
JG CONSTRUCTION,%!s(bool=false),%!s(bool=false),Joel Garcia,%!s(bool=false),http://JGCONSTRUCTIONSD.COM,http://www.houzz.com/pro/joel-garcia4391192/jg-construction,null,null,937426,null,1,0,null,0,null,null
Contractors Palmdale,%!s(bool=false),93550,Eveline Campbell,(661) 427-0186,http://www.contractorspalmdale.com/index.html,http://www.houzz.com/pro/contractorspalmdale/contractors-palmdale,null,null,null,null,0,0,null,0,null,null
"UniCorps International, Inc.",6475 E. Pacific Coast Hwy #406,90803,Rick Carter,(888) 853-7773,http://www.unicorpsinternational.com,http://www.houzz.com/pro/rickcarter5/unicorps-international-inc,null,null,875948,null,0,0,null,0,null,null
Tunney Construction Co.,%!s(bool=false),%!s(bool=false),:,(805) 300-8626,http://tunneyland.com,http://www.houzz.com/pro/billyandsuzy/tunney-construction-co,50000.,4250000.,null,null,0,0,null,4,null,null
Evolution Construction,2455 190th St. unite A,90278,Alex Ocampo,(310) 469-3141,http://www.evolutionconstructiongroup.com,http://www.houzz.com/pro/theworkshopla/evolution-construction,null,null,974037,null,2,0,null,0,null,null
Green Cabinet INC.,%!s(bool=false),91745,Noel,(626) 581-8823,null,http://www.houzz.com/pro/ahkpcabinets/green-cabinet-inc,null,null,997185,null,0,0,null,0,null,null
"American Home Source, Inc.",223 S Glendora Ave #207,91741,Daryl Overlock,(626) 914-2700,http://Www.americanhomesource.us,http://www.houzz.com/pro/doverlock/american-home-source-inc,null,null,916849,null,1,0,null,0,null,null
chorretes  construction,%!s(bool=false),%!s(bool=false),:,(818) 371-8440,http://non,http://www.houzz.com/pro/alex8005/chorretes-construction,null,null,null,null,0,0,null,0,null,null
AM-PM Restoration,%!s(bool=false),%!s(bool=false),:,(800) 658-2154,http://am-pmrestoration.com/,http://www.houzz.com/pro/ampmrestoration274/am-pm-restoration,null,null,null,null,0,0,null,0,null,null
Danny Phill,%!s(bool=false),%!s(bool=false),:,(209) 213-1373,null,http://www.houzz.com/pro/dannyphill/danny-phill,null,null,null,null,0,0,null,0,null,null
The Nest,75188 US Highway 111,92210,The Nest,(760) 346-2314,http://www.gotothenest.com/,http://www.houzz.com/pro/thenest03/the-nest,null,null,null,null,0,0,null,0,null,null
Craig Sampson Construction,%!s(bool=false),91304,Craig Sampson,(818) 716-1989,http://www.craigsampsonconstruction.com,http://www.houzz.com/pro/craigsampson/craig-sampson-construction,null,null,LIC# B941171,null,1,0,null,4,null,null
MRM Construction,1503 w256,90710,Bryan Olea,(424) 558-2513,http://www.mrmcontractionca.com,http://www.houzz.com/pro/bryan-olea/mrm-construction,null,null,null,null,1,0,null,0,null,null
Paul Davis Restoration- Inland Empire,19631 Temescal Canyon Rd.,92881,Eli Shapiro,(951) 270-5304,http://pdrinlandempire.com/,http://www.houzz.com/pro/pdrinlandempire/paul-davis-restoration-inland-empire,null,null,null,null,5,0,null,3,null,null
wtalbott1234,28148 Smyth Dr Suite 201,91355,Will Talbott,(661) 904-4927,http://www.talbottbuildinginc.com,http://www.houzz.com/pro/wtalbott1234/wtalbott1234,null,null,1000397,null,0,0,null,0,null,null
empire construction group,%!s(bool=false),%!s(bool=false),:,(909) 257-6348,null,http://www.houzz.com/pro/rude16/empire-construction-group,null,null,null,null,0,0,null,0,null,null
fm covarrubias construction,%!s(bool=false),%!s(bool=false),:,(805) 766-1110,null,http://www.houzz.com/pro/fmcovarrubias/fm-covarrubias-construction,null,null,null,null,0,0,null,0,null,null
Old Skill Builders Inc.,16654 Soledad Cyn Rd. #519,91387,Bob Guillou,(661) 251-3147,http://oldskillbuilders.com,http://www.houzz.com/pro/bobguillou/old-skill-builders-inc,null,null,B-751344,null,5,1,null,2,null,null
Alonzo Construction Inc.,11556 Barman Ave,90230,Ernesto Alonzo,(310) 391-2611,http://alonzoconstruction.com/,http://www.houzz.com/pro/alonzoconstruction/alonzo-construction-inc,null,null,null,null,1,0,null,2,null,null
Locksmith Service Hollywood,6218 Hollywood Boulevard,90028,Eric Smith,(323) 332-1092,http://www.locksmith-service-hollywood.com,http://www.houzz.com/pro/locksmithservicehollywood/locksmith-service-hollywood,null,null,null,null,0,0,null,0,null,null
SMA ELECTRIC,PO Box 588,92359,Stephen Mann,(909) 794-0946,null,http://www.houzz.com/pro/onebrain/sma-electric,null,null,516070,null,0,0,null,0,null,null
CONTRERAS CONSTRUCTION,533 Arcade Dr,93003,Al Contreras,(805) 643-8901,http://constructionofventura.com,http://www.houzz.com/pro/alcontreras/contreras-construction,null,null,null,null,5,0,null,2,null,null
